Altium Designer Pick and Place Locations
E:\Github\TestTask\Hardware\PCB_Project\Project Outputs for TestTask-Hardware\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       11.05.26
Time:       20:29
Revision:   c962890faf53dd11099325becee219a5b97fff0d
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"U2","TopLayer","STM-UFQFPN48_L","12.2500","26.9000","90"
"SW2","TopLayer","430162043826","34.5000","9.5000","90"
"SW1","TopLayer","430162043826","16.5000","9.5000","90"
"P1","TopLayer","61300511121","3.0000","31.5800","270"
"K1","TopLayer","FP-1721538-7-MFG","29.7300","48.5000","0"
"D2","TopLayer","HDSP-433G","47.1100","27.9200","0"
"C12","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_A","20.0000","20.0000","270"
"C11","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_A","17.5000","20.0000","270"
"C10","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_A","24.5000","15.2228","270"
"C8","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_B","8.0000","34.6000","0"
"C4","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_B","4.5000","23.0000","90"
"C3","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_A","6.5000","15.2772","270"
"C1","TopLayer","FP-C1608-080-0_1-IPC_B","17.5000","39.0000","0"
"C9","TopLayer","FP-C0603C-CF-IPC_B","8.0000","37.1000","0"
"C7","TopLayer","FP-C0603C-CF-IPC_B","7.0000","23.0000","90"
"C6","TopLayer","FP-C0603C-CF-IPC_B","18.5000","28.5000","270"
"C5","TopLayer","FP-C0603C-CF-IPC_B","21.0000","28.5000","270"
"C2","TopLayer","FP-C0603C-CF-IPC_B","17.5000","34.0000","180"
"R15","TopLayer","RES_0603_1608","60.5000","13.4750","270"
"R11","TopLayer","RES_0603_1608","6.5000","25.5000","180"
"R9","TopLayer","RES_0603_1608","55.5000","13.5000","270"
"R6","TopLayer","RES_0603_1608","44.5000","16.0000","270"
"R4","TopLayer","RES_0603_1608","27.0000","15.5000","90"
"R3","TopLayer","RES_0603_1608","33.9900","39.9150","270"
"R2","TopLayer","RES_0603_1608","9.0000","15.0000","270"
"R19","TopLayer","RES_0603_1608","30.0000","28.9750","0"
"R18","TopLayer","RES_0603_1608","30.0000","31.4750","0"
"R17","TopLayer","RES_0603_1608","30.0000","26.4750","0"
"R16","TopLayer","RES_0603_1608","47.0000","18.5000","90"
"R14","TopLayer","RES_0603_1608","51.0000","18.5000","90"
"R12","TopLayer","RES_0603_1608","49.0000","18.5000","90"
"R10","TopLayer","RES_0603_1608","30.0000","21.5000","0"
"R8","TopLayer","RES_0603_1608","30.0000","24.0000","0"
"R13","TopLayer","RES_0603_1608","58.5000","13.4750","270"
"R7","TopLayer","RES_0603_1608","53.5000","13.5000","270"
"R5","TopLayer","RES_0603_1608","42.5000","16.0000","270"
"R1","TopLayer","RES_0603_1608","31.4500","39.9150","90"
"VT4","TopLayer","FP-Micro3-MFG","59.5000","17.0000","90"
"VT3","TopLayer","FP-Micro3-MFG","54.5000","17.0000","90"
"VT2","TopLayer","FP-Micro3-MFG","43.5000","19.5000","90"
"VT1","TopLayer","FP-Micro3-MFG","37.4800","40.1650","90"
"D1","TopLayer","FP-403AE-MFG","41.5000","47.5000","90"
"U1","TopLayer","FP-DCY0004A-MFG","24.5000","36.5000","0"
"J2","TopLayer","AMASS_XT30PW-M","9.5000","47.5000","90"
"J1","TopLayer","AMASS_XT30PW-M","54.0000","47.5000","270"
