Altium Designer Pick and Place Locations
E:\Github\TestTask\Hardware\PCB_Project\Project Outputs for TestTask-Hardware\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       08.05.26
Time:       19:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"VT4","IRLML2030TRPBF","TopLayer","FP-Micro3-MFG","59.5000","17.0000","90"
"VT3","IRLML2030TRPBF","TopLayer","FP-Micro3-MFG","54.5000","17.0000","90"
"VT2","IRLML2030TRPBF","TopLayer","FP-Micro3-MFG","43.5000","19.5000","90"
"VT1","IRLML2030TRPBF","TopLayer","FP-Micro3-MFG","37.4800","40.1650","90"
"U2","STM32F072CBU6TR","TopLayer","STM-UFQFPN48_L","12.2500","26.9000","90"
"U1","UA78M33CDCY","TopLayer","FP-DCY0004A-MFG","24.5000","36.5000","0"
"SW2","430162043826","TopLayer","430162043826","34.5000","9.5000","90"
"SW1","430162043826","TopLayer","430162043826","16.5000","9.5000","90"
"R19","220?","TopLayer","RES_0603_1608","30.0000","28.9750","0"
"R18","220?","TopLayer","RES_0603_1608","30.0000","31.4750","0"
"R17","220?","TopLayer","RES_0603_1608","30.0000","26.4750","0"
"R16","220?","TopLayer","RES_0603_1608","47.0000","18.5000","90"
"R15","10k?","TopLayer","RES_0603_1608","60.5000","13.4750","270"
"R14","220?","TopLayer","RES_0603_1608","51.0000","18.5000","90"
"R13","22?","TopLayer","RES_0603_1608","58.5000","13.4750","270"
"R12","220?","TopLayer","RES_0603_1608","49.0000","18.5000","90"
"R11","10k?","TopLayer","RES_0603_1608","6.5000","25.5000","180"
"R10","220?","TopLayer","RES_0603_1608","30.0000","21.5000","0"
"R9","10k?","TopLayer","RES_0603_1608","55.5000","13.5000","270"
"R8","220?","TopLayer","RES_0603_1608","30.0000","24.0000","0"
"R7","22?","TopLayer","RES_0603_1608","53.5000","13.5000","270"
"R6","10k?","TopLayer","RES_0603_1608","44.5000","16.0000","270"
"R5","22?","TopLayer","RES_0603_1608","42.5000","16.0000","270"
"R4","10k?","TopLayer","RES_0603_1608","27.0000","15.5000","90"
"R3","10k?","TopLayer","RES_0603_1608","33.9900","39.9150","270"
"R2","10k?","TopLayer","RES_0603_1608","9.0000","15.0000","270"
"R1","22?","TopLayer","RES_0603_1608","31.4500","39.9150","90"
"P1","","TopLayer","61300511121","3.0000","31.5800","270"
"K1","OJ-SS-124HM","TopLayer","FP-1721538-7-MFG","29.7300","48.5000","0"
"J2","XT30PW-M","TopLayer","AMASS_XT30PW-M","9.5000","47.5000","90"
"J1","XT30PW-M","TopLayer","AMASS_XT30PW-M","54.0000","47.5000","270"
"D2","HDSP-433G","TopLayer","HDSP-433G","47.1100","27.9200","0"
"D1","SS14","TopLayer","FP-403AE-MFG","41.5000","47.5000","90"
"C12","10nF","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_A","20.0000","20.0000","270"
"C11","1uF","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_A","17.5000","20.0000","270"
"C10","1uF","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_A","24.5000","15.2228","270"
"C9","0.10 ?F","TopLayer","FP-C0603C-CF-IPC_B","8.0000","37.1000","0"
"C8","4.7uF","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_B","8.0000","34.6000","0"
"C7","0.10 ?F","TopLayer","FP-C0603C-CF-IPC_B","7.0000","23.0000","90"
"C6","0.10 ?F","TopLayer","FP-C0603C-CF-IPC_B","18.5000","28.5000","270"
"C5","0.10 ?F","TopLayer","FP-C0603C-CF-IPC_B","21.0000","28.5000","270"
"C4","4.7uF","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_B","4.5000","23.0000","90"
"C3","1uF","TopLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_A","6.5000","15.2772","270"
"C2","0.10 ?F","TopLayer","FP-C0603C-CF-IPC_B","17.5000","34.0000","180"
"C1","330nF","TopLayer","FP-C1608-080-0_1-IPC_B","17.5000","39.0000","0"
